Acesso em: 2024-11-11 07:20:22 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
Acesso em: 2024-11-11 20:35:11 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
Acesso em: 2024-11-11 23:21:23 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
Acesso em: 2024-11-11 23:32:15 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-11 23:32:24 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-12 00:30:00 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-12 00:30:03 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-12 00:30:15 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-12 02:33:40 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36 - Dispositivo Móvel: Sim
Acesso em: 2024-11-12 02:40:44 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
Acesso em: 2024-11-12 02:41:07 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
Acesso em: 2024-11-12 02:44:55 - IP: 127.0.0.1 - Navegador: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 - Dispositivo Móvel: Não
